Phrase	Translation
不，谢谢，我已经怀孕了！	[['No, thank you, I am pregnant!', 7782958.0]]
Tom, 我怀孕了。	[["Tom, I'm pregnant.", 1787053.0]]
她怀孕了。	[['She is pregnant.', 3454068.0]]
这些患者走路有困难。	[['These patients have trouble walking.', 59910.0]]
这种尝试很荒谬。	[["It's nonsense to try that.", 41627.0]]
多么荒唐的故事！	[['What a bizarre tale!', 5340981.0]]
你就是荒唐。	[["You're just being ridiculous.", 3360203.0]]
我给他一个微笑，他也回报我一个微笑。	[['I smiled at him and he smiled back.', 3539345.0]]
咱们回顾一下。	[["Let's review.", 2111619.0]]
把这些物质混合起来是很危险的。	[["It's dangerous to mix these substances.", 2717896.0]]
引起一片混乱。	[['Caused a mess.', 8732735.0]]
活该。	[['You reap what you sow.', 32882.0]]
他充满活力。	[['He is full of energy.', 294885.0]]
年轻人通常都是充满活力的。	[['Young people are usually full of energy.', 265810.0]]
他是由跑步保养青春的活力。	[['He keeps his youth by jogging.', 290151.0]]
不知道为什么我夜里觉得比较有活力。	[['For some reason I feel more alive at night.', 1332.0]]
Tom今天没什么活力。	[["Tom doesn't have much energy today.", 1094498.0]]
他或许不会再庆祝春节了。	[['Perhaps he would not celebrate Chinese New Year again.', 2898320.0]]
我或许可以修好它。	[['I might be able to fix that.', 2387207.0]]
或许你不记得我了，但是我记得你。	[['You may not remember me, but I remember you.', 3346025.0]]
那或许是真的。	[['Maybe it is true.', 8548492.0]]
那或许会有用。	[['It might prove useful.', 1453349.0]]
她或许会来。	[['She might come.', 388733.0]]
这附近有一个军事基地。	[['There is a military base near here.', 59631.0]]
我们应该对人使用基因编辑吗？	[['Should we use genetic engineering on people?', 681070.0]]
他的手机关机了。	[['His cell phone is turned off now.', 3633939.0]]
请把电视机关掉好吗？	[['Would you please turn off the TV?', 2984247.0]]
这是机密。	[["It's confidential.", 1989669.0]]
他是个机智的人。	[['He is a quick-witted man.', 292212.0]]
诗人对他爱的女人表达了他火热的激情。	[['The poet expressed his burning passion for the woman he loved.', 263403.0]]
我饥饿！	[["I'm hungry!", 404096.0]]
城市里充满了饥饿的士兵。	[['The city was full of starving soldiers.', 4728075.0]]
世界上许多人很饥饿。	[['A lot of people are starving in the world.', 271110.0]]
你的建议有点极端。	[['Your proposal is a bit extreme.', 16974.0]]
别走极端。	[["Don't go to extremes.", 18859.0]]
他的耐心已经到了极限。	[['His patience is worn out.', 287283.0]]
即便她不喜欢你，你也要完成工作。	[["Even if she doesn't like you, you still have to finish the work.", 5176861.0]]
即便是小孩子也能做到呢。	[['Even a child can do it.', 245807.0]]
音乐会即将开始。	[['The concert is about to start.', 25913.0]]
这即将成为历史。	[['This is going to become history.', 9408759.0]]
那位医生是儿童疾病的专家。	[["The doctor is a great authority on children's diseases.", 49630.0]]
爱都是嫉妒的。	[["There's no love without jealousy.", 2371.0]]
她只是嫉妒你年轻。	[["She's just jealous of your youth.", 574223.0]]
他嫉妒我的成功。	[['He was jealous of my success.', 297923.0]]
我嫉妒她。	[['I envy her.', 1414039.0]]
没有不存在嫉妒的爱。	[['No love without envy.', 852606.0]]
我嫉妒你的幸运。	[['I envy you your luck.', 17185.0]]
我不嫉妒。	[["I'm not jealous.", 2248154.0]]
不要嫉妒其他人的成功。	[["Don't be jealous of the success of others.", 10276471.0]]
世界人口急剧增长。	[['World population has rapidly increased.', 4555786.0]]
生活支出急剧上涨。	[['Living costs have increased rapidly.', 4757647.0]]
如果我没有给予任何回答，我不会说话。	[['If I gave no answer, I would not have spoken.', 1955.0]]
爱情是给予一个人所没有的东西。	[["Love is giving something one doesn't have.", 391751.0]]
他继承了他父亲的财产。	[["He succeeded to his father's property.", 302512.0]]
你的记性很好。	[["You've got a great memory.", 3357809.0]]
我的记性不好。我简直不记得他的名字了。	[['My memory failed me. I just could not remember his name.', 250645.0]]
您记性不太好。	[["Your memory isn't too good.", 7785203.0]]
如果你不计较太多，生活会更容易些。	[["Life would be so much better if you didn't care so much.", 1507006.0]]
我想她肯定有其他技能。	[["I'm sure she has other skills.", 2192527.0]]
所有迹象表明她好起来了。	[['All the signs are that she is getting better.', 51671.0]]
在我们的周围没有敌人的迹象。	[['No sign of the enemy in our surroundings.', 328524.0]]
他没有进步的迹象。	[['He shows no mark of progress.', 299590.0]]
那些都是好迹象。	[['Those are encouraging signs.', 5736336.0]]
一切的迹象都表示她的状况有所改善。	[['All the signs are that she is getting better.', 51671.0]]
那是个好迹象。	[["That's a good sign.", 3573708.0]]
你最喜欢的家常菜是什么？	[["What's your favorite home-cooked food?", 906777.0]]
那些家伙是谁？	[['Who are those guys?', 2451.0]]
在河里游泳的家伙是我朋友。	[['The man swimming in the river is my friend.', 273172.0]]
小家伙，你在看什么？	[['What are you looking at, little one?', 4736910.0]]
离这家伙远点。	[['Stay away from this guy.', 2700778.0]]
那家伙是谁？	[["Who's that guy?", 2254911.0]]
我不喜欢那家伙。	[["I don't like that guy.", 3824284.0]]
这只是个假设。	[['This is just a hypothesis.', 2110836.0]]
您的假设是根据什么?	[['What is the basis of your assumptions?', 2110842.0]]
让我们假设她在这里。	[['Let us suppose she is here.', 5573302.0]]
有了坚定的目标，你会做得很好。	[['With a firm goal in mind, you will do well.', 53469.0]]
有人在监视。	[['Someone is watching.', 2249982.0]]
他在监视着。	[['He is keeping an eye out.', 7830349.0]]
这里以前有一座监狱。	[['There used to be a prison here.', 61792.0]]
你在监狱做什么	[['What were you in prison for?', 2643461.0]]
你在监狱里呆了多久？	[['How long were you in jail?', 5478202.0]]
我进过监狱。	[["I've been in prison.", 5754651.0]]
你去过监狱吗？	[['Have you ever been in jail?', 6898671.0]]
有一个危险的罪犯从监狱里逃了出来。	[['A dangerous criminal escaped from prison.', 10331204.0]]
我想让她干这项艰难的工作。	[['I want to leave this difficult job to her.', 427033.0]]
这个月我过得有点艰难。	[['This month was kind of difficult.', 1556870.0]]
这是个很艰难的斗争。	[['It was an uphill struggle.', 1226744.0]]
对不起, 明天早上我有兼职的工作。	[['Sorry, I have a part-time job tomorrow morning.', 327000.0]]
我正在找一份兼职的工作。	[["I'm looking for a part-time job.", 35527.0]]
我必须找一份兼职工作。	[['I have to find a part-time job.', 544718.0]]
我太太兼职的工作赚进了一些额外的钱。	[["My wife's part-time job brings in a little extra money.", 24037.0]]
我得找一份兼职工作。	[['I have to find a part-time job.', 544718.0]]
你做那份兼职工作最多能赚到八万日元。	[['You can make up to 80,000 yen a month in that part-time job.', 50687.0]]
我突然想到他可能是个商业间谍。	[['It occurred to me that he might be an industrial spy.', 34626.0]]
他相信我们中间有间谍。	[['He believes there is a spy among us.', 7790235.0]]
不要践踏草地。	[["Don't trample on the grass.", 265294.0]]
将近三点了。	[["It's almost three o'clock.", 7910811.0]]
这场战争持续了将近十年。	[['The war lasted nearly ten years.', 273301.0]]
我第一次遇到她的时候，她将近三十岁的年纪。	[['When I first met her, she was nearly 30 years old.', 7789275.0]]
我已经等了将近半个小时。	[["I've already waited nearly half an hour.", 7802103.0]]
将军。	[['Check.', 9932761.0]]
秘密的礼物公开的奖励。	[['Secret gifts are openly rewarded.', 27088.0]]
我焦急地在等着去聚会。	[["I'm looking forward to the party.", 35722.0]]
坐在角落的那个男人是谁？	[['Who is the man sitting in the corner?', 51504.0]]
他是个有教养的人。	[['He is a learned man.', 294832.0]]
我不知道故事的结局。	[["I don't know the end of the story.", 3008801.0]]
这个故事有一个悲惨的结局。	[['This story has a sad ending.', 6558751.0]]
感觉这不会有个好结局。	[['I feel like this is not going to end well.', 4153210.0]]
不是故事的结局不够好，而是我们对故事的要求过多！	[["It is not that the story's ending is lacking, we are just asking for too much!", 9408508.0]]
我昨天被解雇了。	[['I was sacked yesterday.', 777588.0]]
他被工厂的老板解雇。	[['He was dismissed by the boss of the factory.', 1577222.0]]
你害怕被解雇吗？	[['Are you afraid of being fired?', 8580873.0]]
我的老板刚刚解雇了我。	[['My boss just fired me.', 2819436.0]]
我尽快需要。	[['I need it as quickly as possible.', 430022.0]]
经理命令要把所有房间尽快打扫干净。	[['The manager ordered all the rooms to be swept clean as soon as possible.', 246283.0]]
你最好尽快回家。	[["You'd better go home as soon as possible.", 16505.0]]
我会尽快完成的。	[["I'll finish it as quickly as I can.", 39530.0]]
请尽快过来。	[['Please come as soon as possible.', 38871.0]]
尽快把它完成。	[['Get it done as soon as possible.', 39523.0]]
我会尽快写信给你。	[["I'll write to you soon.", 4321099.0]]
请你尽快回家。	[['Please come home as quickly as possible.', 39526.0]]
我会尽快给你打电话的。	[["I'll call you as soon as I can.", 1687657.0]]
我需要尽快完成。	[['I need to complete it as soon as possible.', 3178644.0]]
你最好尽快去做。	[["You'd better do it soon.", 3377113.0]]
请尽快回家。	[['Please come back home as soon as you can.', 2986618.0]]
我会尽快处理这问题。	[["I'll deal with this problem as soon as I can.", 2712610.0]]
请尽快回来。	[['Please come back as soon as possible.', 39527.0]]
尽快来。	[['Come as soon as you can.', 39532.0]]
进攻是最好的防御。	[['Attack is the best form of defense.', 240888.0]]
进攻！	[['Attack!', 1972610.0]]
软件正在不断进化。	[['Software is constantly evolving.', 6774794.0]]
已经取得巨大进展。	[['Great progress has been made.', 3153310.0]]
请把进展情况报告一下。	[['Please report the progress.', 8697598.0]]
你的项目进展得怎么样？	[["How's your project going?", 9684795.0]]
经济进展得慢。	[['The economy progressed slowly.', 1544435.0]]
她晋升了。	[['She was promoted.', 388611.0]]
不要把精确和准确搞错。	[["Let's not mistake precision for accuracy.", 4709701.0]]
为了她的重要约会，她精心打扮了一下。	[['She got all dolled up for her big date.', 608960.0]]
她精心筹备了这个派对。	[['She made elaborate preparations for the party.', 311932.0]]
日本充满惊奇。	[['Japan is full of surprises!', 281519.0]]
他惊奇地看着我。	[['He looked at me in surprise.', 295385.0]]
我听到这个消息很惊讶。	[['I was very surprised to hear the news.', 254178.0]]
我很惊讶竟然看到了狮子。	[['I was surprised to see a lion.', 255905.0]]
我们听到这个消息很惊讶。	[['We were surprised to hear the news.', 248137.0]]
她很惊讶他出现了。	[['She was surprised that he showed up.', 463460.0]]
请不要惊讶我讲这种语言，请注意我讲的内容。	[["Please don't be so surprised that I'm speaking this language and listen to the content of what I'm actually saying.", 978153.0]]
这个让我惊讶到了!	[['It caught me by surprise.', 2021217.0]]
每个人看到Tom都很惊讶。	[['Everyone was surprised to see Tom.', 3534212.0]]
我真是惊讶。	[['I was truly astonished.', 4499801.0]]
他看见他很惊讶。	[['He was surprised to see him.', 7681637.0]]
她非常惊讶。	[['She was very surprised.', 7883858.0]]
他非常惊讶。	[['He was very surprised.', 7883856.0]]
她对那个消息非常惊讶。	[['She was very surprised at the news.', 315766.0]]
让我们非常惊讶的是，他突然辞职了。	[['What shocked us greatly was his sudden resignation.', 9414998.0]]
我们的老师警告他不要再迟到。	[['Our teacher warned him not to be late again.', 273048.0]]
你应该多注意他的警告。	[['You should pay more attention to his warnings.', 15818.0]]
你应该要更快警告他的。	[['You should have warned him sooner.', 826521.0]]
我警告了他不要迟到。	[['I warned him not to be late.', 403378.0]]
我已经被警告过不要去那里。	[['I have been warned against going there.', 50948.0]]
她警告了他不要一个人去。	[['She warned him not to go alone.', 316255.0]]
她警告他晚上不要一个人出去。	[['She warned him not to go out at night alone.', 887519.0]]
她忽视了我所有的警告。	[['She ignored all my warnings.', 314315.0]]
警告被忽视。	[['The warnings were ignored.', 4500191.0]]
我警告过你别来这里。	[['I warned you not to come here.', 4927665.0]]
我们被警告过了。	[["We've been warned.", 5423334.0]]
警告他。	[['Warn him.', 8475490.0]]
我们警告过她。	[['We did warn her.', 3904431.0]]
我警告过她。	[['I warned her.', 3904378.0]]
我们警告过他了。	[['We did warn him.', 3904430.0]]
保持警惕。	[['Stay sharp.', 1627331.0]]
你真是警惕。	[["You're very alert.", 5199593.0]]
不要放松警惕。	[["Don't let your guard down.", 1123492.0]]
他试着赢得竞赛。	[['He endeavored to win the contest.', 295283.0]]
如果小错误不被立即纠正，可能会导致严重问题。	[['If small mistakes are not corrected at once, they may lead to serious problems.', 2915544.0]]
如果你发现错误，那就请你纠正它。	[['If you see a mistake, then please correct it.', 1535.0]]
在日本，遇到人鞠躬是有礼貌的表现。	[['In Japan, it is polite to bow when one meets someone.', 5901292.0]]
鞠躬！	[['Bow down!', 7532023.0]]
这个男人被警察拘留了。	[['The man was held in police custody.', 45325.0]]
我在日本居住。	[['I live in Japan.', 259803.0]]
他的食物供给不足的的时候，他不得不去找新的地方居住。	[['When his food supply ran short, he had to look for a new place to live.', 286791.0]]
我现在居住在北京。	[['I currently live in Beijing.', 4728102.0]]
人类居住在世界的每一个角落。	[['Humans live in every corner of the world.', 7787232.0]]
您在哪些国家居住过呀？	[['What countries have you lived in?', 6825832.0]]
他很沮丧。	[["He's depressed.", 514675.0]]
我为小事情觉得沮丧。	[['I get depressed by the slightest things.', 40070.0]]
我经常觉得沮丧。	[['I feel depressed often.', 29952.0]]
你很沮丧。	[["You're very dejected.", 10044314.0]]
我想成为决策的人。	[['I want to be the one who decides.', 5194202.0]]
充满希望比绝望好。	[['To hope is better than to despair.', 4838307.0]]
军队意外地被攻击了。	[['The army was unexpectedly attacked.', 777613.0]]
她的脸上总是挂着开朗的微笑。	[['She is always bright and smiling.', 310406.0]]
她开朗的个性使我觉得快乐。	[['I get a kick out of her cheerful personality.', 309223.0]]
年轻的时候你应该开拓你的思想。	[['You should enrich your mind when young.', 265701.0]]
我把他看待为老板。	[['I looked on him as the boss.', 260893.0]]
我决定顺便去看望看望他。	[['I decided to take the opportunity to go and visit him.', 2367634.0]]
如果我知道你生病了，我会去医院看望你。	[['If I knew you were sick, I would have gone to the hospital to pay you a visit.', 7251704.0]]
我去那里看望她。	[['I went there to see her.', 312928.0]]
大自然很慷慨。	[['Mother Nature is generous.', 792819.0]]
我发现实地考察很有教育意义。	[['I found the field trip very educational.', 46891.0]]
我们的友谊受到了考验。	[['Our friendship was put to the test.', 8557706.0]]
你在学校里读哪些科目?	[['What subjects are you taking at school?', 16234.0]]
日本历史是我最喜欢的科目。	[['Japanese history is my favorite subject.', 281687.0]]
第一个吸引我注意的科目是哲学。	[['The first subject that attracted my attention was philosophy.', 32771.0]]
数学是我最喜欢的科目。	[['Math is my favorite subject.', 2801250.0]]
物理是我最喜欢的科目。	[['Physics is my favorite subject.', 319980.0]]
你最喜欢哪一个科目?	[['What subject do you like best?', 69827.0]]
你最喜欢什么科目?	[['What subjects do you like best?', 8634790.0]]
她最弱的科目是科学。	[['She is weakest at science.', 312873.0]]
世界所有人都渴望和平。	[['All the world desires peace.', 271176.0]]
我们渴望和平。	[['We long for peace.', 263268.0]]
我渴望冒险。	[["I've a yen for adventures.", 414442.0]]
她是我所渴望的女人。	[['She is the woman of my desires.', 314295.0]]
如何引起女人的渴望？	[["How to arouse a woman's desire?", 508834.0]]
他渴望去那里。	[['He is eager to go there.', 292061.0]]
没人不渴望和平。	[["There are no people who don't desire peace.", 1439910.0]]
他收入可观。	[['He earns a good salary.', 288945.0]]
你应该认为这是个很可观的改进。	[['You must think of this as a great improvement.', 2558048.0]]
可恶，家的钥匙到底放哪去了?	[["Bollocks, where in God's name did I put my house keys?", 1482011.0]]
那很可笑。	[['That will be funny.', 1504279.0]]
看到他那可笑的样子，大家忍不住笑了。	[['Upon seeing how ridiculous he looked, everyone could not help but laughing.', 3962761.0]]
可笑!	[['Funny!', 6744874.0]]
他的主意总是可行的。	[['His ideas are always practical.', 286214.0]]
我们得出结论，这个计划目前是不可行的。	[['We have come to the conclusion that this plan is not feasible currently.', 2915560.0]]
他家认为这个建议是可行的	[['We all think this proposal is feasible.', 4713478.0]]
没有他我的生活是空虚的。	[['My life is hollow without him.', 2108.0]]
我不会表现出恐惧。	[["I'm not going to show any fear.", 5659246.0]]
你知道恐惧的价值吗?	[['Do you know the value of fear?', 628077.0]]
我不喜欢你和我说话的口气。	[["I don't like the way you talk to me.", 7211461.0]]
我有什么口音？	[['What accent have I got?', 2691833.0]]
你说话带口音吗？	[['Do you speak with an accent?', 10251004.0]]
我新家的客厅很宽敞。	[['The living room in my new house is very large.', 251249.0]]
这种款式的帽子现在很流行。	[['This style of hat is now in fashion.', 59562.0]]
款式很不错，不过有没有别的颜色？	[['The style is nice, but do you have it in a different color?', 237904.0]]
那家公司去年亏损了10亿日元。	[['The company suffered a loss of one billion yen last year.', 49092.0]]
谁喜欢昆虫？	[['Who likes insects?', 535557.0]]
你吃过昆虫吗？	[['Have you ever eaten insects?', 2661475.0]]
他的双脚被交叉捆绑着。	[['His legs were crossed.', 6293544.0]]
她骂她的儿子懒惰。	[['She scolded her son for being lazy.', 274376.0]]
他骂他的儿子懒惰。	[['He scolded his son for being lazy.', 7390985.0]]
别唠叨！我需要学习。	[["Don't chatter! I have to study.", 8860629.0]]
停止发牢骚吧。	[['Stop grumbling.', 18356.0]]
她唯一的乐趣就是听音乐。	[['Her only pleasure is listening to music.', 309832.0]]
我的一个乐趣是看电视。	[['One of my pleasures is watching TV.', 250612.0]]
读书，可以获得乐趣、友谊、经验和指导。	[['From reading good books we can derive pleasure, friendship, experience and instruction.', 1269252.0]]
画画能带给我很多乐趣，也能让我放松自己。	[['Drawing is a lot of fun; it helps me to relax.', 22069.0]]
生活的乐趣是什么？	[['What is the joy of life?', 8590986.0]]
我会很乐意帮助你。	[['I will gladly help you.', 20664.0]]
为什么不呢？我很乐意。	[["Why not? I'd be happy to.", 30555.0]]
你是真的很乐意帮忙吗?	[['Are you really willing to help?', 4499303.0]]
我的观点和你的类似。	[['My opinion is similar to yours.', 250450.0]]
我们老师确实很讲究礼节，不是吗？	[["Our teacher really stands on ceremony, doesn't she?", 321364.0]]
我没有失去理智，我在eBay上把它卖了。	[['I did not lose my mind, I sold it on eBay.', 828806.0]]
他终于恢复了理智。	[['He finally came to his senses.', 10621399.0]]
你站在我的立场上考虑看看。	[['Just put yourself in my shoes.', 32990.0]]
我十分理解你的立场。	[['I understand your position perfectly.', 16863.0]]
这是我们历来经历过最大的地震。	[['The earthquake was the biggest one that we had ever experienced.', 45130.0]]
现在的贷款利率很高。	[['Interest on loans is high at present.', 29388.0]]
利率还是低。	[['Interest rates are still low.', 5134823.0]]
自由是我们所力争的。	[["Freedom is what we're fighting for.", 3665456.0]]
这是一个例外。	[['This is an exception to the rule.', 55912.0]]
每条规则都有例外。	[['There are exceptions to every rule.', 36670.0]]
那是例外。	[["That's an exception.", 4947885.0]]
一切规则都有例外。	[['Every rule has exceptions.', 3455966.0]]
让我们保持联络。	[["Let's keep in touch.", 56278.0]]
我们以后要保持联络啊。	[["From now on, let's keep in touch.", 56291.0]]
我没办法联络到他。	[['I cannot get in touch with him.', 260242.0]]
我会尽快和他联络。	[['I will get in touch with him as soon as possible.', 39517.0]]
我会很快跟你联络。	[["I'll get in touch with you soon.", 18762.0]]
你最近有没有和他联络？	[['Have you been in contact with him recently?', 243882.0]]
希望我们能够保持联络吧。	[["I hope we'll be able to keep in touch.", 10276635.0]]
保持联络！	[['Keep in touch!', 326314.0]]
他非常吝啬。	[['He is very stingy with his money.', 292056.0]]
我丢了我的灵感。	[['I lost my inspiration.', 1892.0]]
什么是您最大的灵感来源？	[['What is your greatest source of inspiration?', 1852.0]]
我灵感枯竭了。	[['My inspiration has run dry.', 10551456.0]]
你认为动物有灵魂吗？	[['Do you think animals have a soul?', 705418.0]]
我是个自由的灵魂。	[['I have a free spirit.', 4621886.0]]
玩这些电脑游戏要反应灵敏。	[['You need to have quick reactions to play these computer games.', 4929473.0]]
我没有领会这个意义。	[["I don't understand its significance.", 7784068.0]]
一个完美的地图必须要像它所代表的领土一样大。	[['A perfect map would have to be as big as the territory it represents.', 584946.0]]
聪明的领袖知道什么时候听取他人意见。	[['A wise leader knows when to listen to others.', 4949477.0]]
不要流露你的感情。	[["Don't let your feelings show.", 20655.0]]
他反对垄断。	[['He was opposed to monopolies.', 302084.0]]
他曾经反对垄断。	[['He was opposed to monopolies.', 302084.0]]
自行车有两个轮胎。	[['Bicycles have two wheels.', 6689438.0]]
他履行了他的承诺，并且帮助了他的兄弟。	[['He kept his promise and helped his brothers.', 434956.0]]
什么痛苦能让你想用酒精去麻醉自己？	[['What pain are you trying to cover up with alcohol?', 2453079.0]]
他的脉搏正常吗？	[['Is his pulse regular?', 287571.0]]
我的脉搏很快。	[['My pulse is fast.', 322672.0]]
别再埋怨了。	[['Stop complaining.', 2111503.0]]
二十年是一段漫长的岁月。	[['Twenty years is a long time.', 72954.0]]
十年是一段漫长的岁月。	[['Ten years is a really long period of time.', 1246269.0]]
这些措施可以预防疾病蔓延。	[['These measures can prevent the disease from spreading.', 742938.0]]
你总是跟蜜蜂一样地忙碌。	[["You're always as busy as a bee.", 9729410.0]]
他这个星期一直很忙碌。	[['He has been very busy this week.', 296552.0]]
我仍然忙碌。	[["I'm still busy.", 255663.0]]
在收获季节里农民非常忙碌。	[['Farmers are very busy during the harvest.', 1597378.0]]
我总是忙碌。	[["I'm busy all the time.", 253162.0]]
我有一个忙碌的生活。	[['I lead a busy life.', 275003.0]]
他站在那里,一脸茫然。	[['He was standing there with a vacant look.', 292718.0]]
爱是盲目的。	[['Love is blind.', 453394.0]]
爱情让他盲目到看不到她的错。	[['Love blinded him to her faults.', 28690.0]]
恋爱使人盲目。	[['Love is blind.', 453394.0]]
爱情是盲目的。	[['Love is blind.', 453394.0]]
它长得很茂盛。	[['It grew luxuriantly.', 8097847.0]]
您必须弥补损失。	[['You must make up for the loss.', 16332.0]]
我必须弥补损失。	[['I must make up for the loss.', 254536.0]]
你必须弥补损失。	[['You must make up for the loss.', 16332.0]]
她告诉了我她很迷惑的。	[["She told me that she's puzzled.", 7400480.0]]
那是个迷人的秋夜。	[['It was a lovely autumn evening.', 51852.0]]
我们的邻居买给他自己一匹迷人的马。	[['Our neighbour bought himself a charming horse.', 780864.0]]
她认为她自己够迷人的了。	[['She thought of herself as being charming enough.', 810000.0]]
他认为他自己够迷人的了。	[['He thought of himself as being charming enough.', 809997.0]]
Kim穿得很迷人。	[['Kim is dressed very attractively.', 424851.0]]
她有一双迷人的眼睛。	[['She has attractive eyes.', 317194.0]]
今天你看起来很迷人啊。	[['You look very charming today.', 16136.0]]
他是个迷人的发言人。	[["He's a captivating speaker.", 6177076.0]]
他可能已经迷失了。	[['He might have lost his way.', 34623.0]]
我迷失了。	[['I am lost.', 1164098.0]]
日本的人口密度很高。	[['Japan has a high population density.', 281553.0]]
他勉强地通过了考试。	[['He barely passed the examination.', 289591.0]]
他勉强同意了我的建议。	[['He reluctantly agreed to my proposal.', 303762.0]]
你就是要面子。	[["You're only saving face!", 1362559.0]]
她对当下的流行很敏感。	[['She follows the latest craze.', 1477127.0]]
不要对批评太敏感了。	[["Don't be too sensitive to criticism.", 317780.0]]
他很敏感。	[['He is very sensitive.', 729951.0]]
你对批评太敏感了。	[['You are too sensitive to criticism.', 9902.0]]
猫的眼睛对光很敏感。	[["Cats' eyes are very sensitive to light.", 282028.0]]
我觉得我的名誉受到了威胁。	[['I felt that my honor was at stake.', 258327.0]]
父亲以他姑姑的名字为我命名。	[['Father named me after his aunt.', 318972.0]]
他被以他叔叔的名字Horatio来命名。	[['He was named Horatio after his uncle.', 266632.0]]
你很快就会习惯这个国家的生活模式了。	[['You will soon get accustomed to living in this country.', 52247.0]]
电视的发明为我们的生活模式带来了巨大的变化。	[['The invention of TV caused a drastic change in our daily life.', 39210.0]]
所有的模型都有错，不过有些还是有用的。	[['All models are wrong, but some are useful.', 525006.0]]
冲动是魔鬼。	[['Impulsiveness is the devil.', 2628656.0]]
这男人把他的灵魂卖给魔鬼。	[['The man sold his soul to the devil.', 45341.0]]
友谊是魔术。	[['Friendship is magic.', 1105645.0]]
那是魔术。	[['That was magic.', 2250959.0]]
翻译帮助我们更好地了解自己的母语。	[['Translating helps us to know our mother tongue better.', 322266.0]]
你的母语是中文吗？	[['Is your mother tongue Chinese?', 2166198.0]]
你的母语是什么？	[["What's your mother tongue?", 10550546.0]]
所目睹的不一定是真的。	[['Things that you see with your eyes are not necessarily true.', 417542.0]]
我不用沐浴露。	[["I don't use shower gel.", 5328259.0]]
这不是我拿手的。	[['That is not my line.', 42359.0]]
事情难免会发生。	[['Stuff happens.', 491351.0]]
热是一种能量。	[['Heat is a form of energy.', 282114.0]]
与其知道你要走，我宁肯你没有回来过。	[['I would rather that you never returned than know that you wanted to leave.', 9414965.0]]
我宁愿自己独立生活也不要他来指使我。	[['I would rather live by myself than do as he tells me to do.', 286015.0]]
我宁愿去游泳。	[["I'd rather go swimming.", 28979.0]]
我宁愿死也不要跟你结婚！	[["I'd rather die than marry you!", 794456.0]]
你宁愿翻译句子也不愿意和我说话。	[["You'd rather translate sentences than chat with me.", 2863685.0]]
我拒绝被你像奴隶一样对待。	[['I refuse to be treated like a slave by you.', 17451.0]]
他对待我就像他的奴隶。	[['He treats me like his slave.', 298162.0]]
这个人是您的奴隶，是吧？	[['This person is your slave, right?', 939895.0]]
他是个奴隶。	[["He's a slave.", 7816288.0]]
我是个奴隶。	[["I'm a slave.", 10204809.0]]
她是潮流的奴隶。	[['She is a slave of fashion.', 317409.0]]
我是一个奴隶。	[["I'm a slave.", 10204809.0]]
不要虐待动物。	[["Don't be cruel to animals.", 280217.0]]
他受到严重的虐待。	[['He was treated with great cruelty.', 292526.0]]
他被殴打得快死。	[['He was beaten to within an inch of his life.', 777611.0]]
我想去欧洲的某个地方。	[['I want to go somewhere in Europe.', 255858.0]]
欧洲的人口比亚洲少。	[['Europe has a smaller population than Asia.', 30014.0]]
我打算下个星期去欧洲。	[["I'm planning to leave for Europe next week.", 325086.0]]
如果我有时间有钱，我要到欧洲去旅游。	[["If I have time and enough money, I'd want to go traveling in Europe.", 474609.0]]
我决定不去欧洲了。	[['I decided not to go to Europe.', 255859.0]]
这条河是欧洲最宽的。	[['This river is the widest in Europe.', 1742471.0]]
翻译是欧洲的语言。	[['Translation is the language of Europe.', 822822.0]]
我正在考虑去欧洲。	[["I'm thinking of going to Europe.", 255860.0]]
他去过欧洲很多次了。	[['He has been to Europe many times.', 294364.0]]
我对欧洲历史很熟悉。	[['I know the history of Europe very well.', 411874.0]]
去哪里可以买到欧洲的地图？	[['Where can I go to get a map of Europe?', 1450196.0]]
你什么时候去欧洲？	[['When are you going to Europe?', 66046.0]]
欧洲人统一有可能吗？	[['Is a common European identity possible?', 4844059.0]]
那离欧洲有点远，你不觉得吗？	[["That's kind of far from Europe, don't you think?", 5674067.0]]
我从没去过欧洲。	[["I've never been to Europe.", 30012.0]]
你去过欧洲几次？	[['How many times have you been to Europe?', 772803.0]]
我希望我能住在欧洲。	[["I'd like to live in Europe.", 2652927.0]]
他为了钱抛弃自己的原则。	[['He sold his principles for money.', 295454.0]]
她抛弃了她的孩子。	[['She abandoned her children.', 314675.0]]
Tom对烹饪很在行。	[['Tom is quite good at cooking.', 1024892.0]]
我很疲惫。	[['I am extremely tired.', 2628950.0]]
你看起来很疲倦。	[['You look tired.', 63218.0]]
她的屁股很大。	[['She has a big butt.', 2166235.0]]
猴子屁股坐不住。	[["The monkey's bottom is not staying still.", 7772920.0]]
我的屁股穿这个看起来大吗？	[['Does my bum look big in this?', 1201050.0]]
起床了，太阳晒屁股了。	[["Get up. It's late.", 9402038.0]]
她屁股真棒。	[["She's got a nice ass.", 10636616.0]]
我没有偏见。	[["I'm not biased.", 3330647.0]]
木头会漂浮。	[['Wood floats.', 1869662.0]]
可能你工作得太拼命？	[["Maybe you're working too hard.", 9250921.0]]
日本自然资源贫乏。	[['Japan is poor in natural resources.', 281587.0]]
这个政策的目的是改善最贫困城市的环境。	[['The aim of this policy is to improve the environment in the poorest cities.', 814141.0]]
她是一位品行端正的女士。	[['She is a very correct lady.', 312430.0]]
